acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q2851261,ANNE RICHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,APRES APRES-DEMAIN,32
77127,RICHARD CAMPBELL,Q7340017,ROB CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE CRUCIBLE,25
77127,RICHARD CAMPBELL,Q44335,KEITH CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,PATRIOT GAMES,18
77127,RICHARD CAMPBELL,Q2217166,MAIA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,POETIC JUSTICE,24
77127,RICHARD CAMPBELL,Q15973588,RICHARD BEAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,A NEW LIFE,26
77127,RICHARD CAMPBELL,Q2965115,CHRISTIAN CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MAX STEEL: FORCES OF NATURE,34
77127,RICHARD CAMPBELL,Q7324706,RICHARD CHAPMAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MY FELLOW AMERICANS,16
77127,RICHARD CAMPBELL,Q2790963,RICHARD BEN CRAMER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE BATTLE OVER CITIZEN KANE,33
77127,RICHARD CAMPBELL,Q22088275,RICHARD LABRIE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,GOOD LUCK,11
77127,RICHARD CAMPBELL,Q16239239,RICHARD PENN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,VOLCANO,8
77127,RICHARD CAMPBELL,Q93351601,DARREN CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TWENTY FOUR SEVEN,20
77127,RICHARD CAMPBELL,Q7324155,RICHARD BEY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MEET WALLY SPARKS,7
77127,RICHARD CAMPBELL,Q637974,CHUCK CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MY DOG VINCENT,14
77127,RICHARD CAMPBELL,Q1373537,RICHARD MULLER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,RIVERS OF BABYLON,30
77127,RICHARD CAMPBELL,Q3934844,RICHARD MCCABE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,MASTER AND COMMANDER: THE FAR SIDE OF THE WORLD,44
77127,RICHARD CAMPBELL,Q538490,JESSICA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE SAFETY OF OBJECTS,37
77127,RICHARD CAMPBELL,Q703476,RAMSEY CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LOVECRAFT: FEAR OF THE UNKNOWN,38
77127,RICHARD CAMPBELL,Q64348542,RICHARD O'CONNELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BLACK EYED DOG,21
77127,RICHARD CAMPBELL,Q3703127,DAVID CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WHITE WOLVES III: CRY OF THE WHITE WOLF,34
77127,RICHARD CAMPBELL,Q452344,CHRISTA CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,DAY OF THE DEAD: BLOODLINE,41
77127,RICHARD CAMPBELL,Q7327856,RICHARD MOLLOY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TACKLE HAPPY,18
77127,RICHARD CAMPBELL,Q711022,RICHARD KELLY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,I HOPE THEY SERVE BEER IN HELL,27
77127,RICHARD CAMPBELL,Q2842345,AMBRE ROCHARD,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BETTY FISHER ET AUTRES HISTOIRES,29
